,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,24768,1.3961692770322165,0.8,0.88,0.3820279474743995,4684.2226156657825,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
1,23724,1.4127787073453268,0.8,0.862,0.38185760074546293,4685.526126386554,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
2,22640,1.4079277873039246,0.8,0.822,0.3819269876827081,4681.904874114621,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
3,25786,1.3936745087305704,0.8,0.854,0.38192282888880985,4682.0705471098945,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
4,23593,1.40004506111145,0.8,0.846,0.38158584553225855,4683.884132416247,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
5,25048,1.391960867245992,0.8,0.828,0.38196477910574045,4682.394431637706,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
6,23644,1.4046380122502644,0.8,0.798,0.38217283046837874,4681.874996924575,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
7,25585,1.3963431517283122,0.8,0.854,0.3818249312932921,4681.840542715701,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
8,20729,1.4001469373703004,0.8,0.754,0.3821335227740119,4682.660120187513,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
9,19802,1.4938071767489116,0.8,0.762,0.3819312900950027,4682.494820633037,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
10,22090,1.4455994208653768,0.8,0.832,0.3815579978800408,4682.180422183442,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
11,23005,1.4570070544878642,0.8,0.818,0.3814933231608214,4683.949707174176,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
12,25283,1.411538056532542,0.8,0.878,0.3818041267325812,4683.423072686906,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
13,19087,1.4169169425964356,0.8,0.76,0.38230983153700904,4683.150384595555,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
14,24003,1.4733300487200418,0.8,0.85,0.38181016086474967,4683.913267003201,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
15,25304,1.5569163958231609,0.8,0.868,0.38186564798907446,4682.616097686943,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
16,26243,1.6087134997049968,0.8,0.882,0.38141182289448317,4682.487961515187,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
17,26128,1.4927013834317526,0.8,0.886,0.3819743110519556,4682.840612065841,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
18,23695,1.49137597878774,0.8,0.824,0.3821099914056661,4684.781034333468,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
19,22791,1.4593015869458517,0.8,0.814,0.38219775862058747,4683.523263726718,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
20,24256,1.4429239869117736,0.8,0.836,0.3819973403869739,4682.694393188483,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
21,20513,1.5376471439997355,0.8,0.804,0.38192685339105725,4684.979167502408,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
