,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,28085,1.321184515953064,0.8,0.89,0.38174701364128083,4681.967704412555,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
1,28725,1.3279117067654929,0.8,0.888,0.3817725178076675,4683.243910861912,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
2,27995,1.3331177393595377,0.8,0.896,0.38159151718684664,4683.015598844367,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
3,28443,1.3297446409861247,0.8,0.904,0.38188087364588064,4683.3545751814345,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
4,27196,1.3268556594848633,0.8,0.886,0.38220971496193945,4683.812314148295,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
5,25895,1.323638904094696,0.8,0.854,0.3822509735750747,4684.205927953737,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
6,27892,1.3242965976397196,0.8,0.892,0.3819712199727973,4682.683188311777,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
7,26762,1.321398913860321,0.8,0.864,0.38184468144619177,4683.611926092266,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
8,28574,1.3286814014116923,0.8,0.872,0.3817562521700722,4683.051920095727,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
9,27028,1.3151878078778585,0.8,0.88,0.38194862258994067,4684.697295623793,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
10,27579,1.3326323310534158,0.8,0.898,0.38211941766126484,4681.953915859024,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
11,28002,1.3243573904037476,0.8,0.9,0.3817844123961726,4683.848667281621,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
12,28719,1.332692563533783,0.8,0.89,0.38181226682181135,4681.944658339964,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
13,29312,1.3166493058204651,0.8,0.874,0.38197890905677856,4683.630634020316,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
14,27103,1.321478505929311,0.8,0.898,0.3819758551628032,4682.156886833809,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
15,29626,1.3172248919804892,0.8,0.908,0.38180743376913545,4683.8008343241245,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
16,26614,1.3168455004692077,0.8,0.894,0.38204170795857983,4683.7100643673775,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
17,28254,1.3258704225222269,0.8,0.918,0.38202635938087043,4682.529496523537,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
18,28138,1.3195439298947653,0.8,0.876,0.38198098957843946,4683.010783293417,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
19,26642,1.321573277314504,0.8,0.876,0.3819044766262199,4683.151896804648,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
20,27997,1.3224920392036439,0.8,0.886,0.3820429860469206,4681.807560320528,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
21,27195,1.3194656292597453,0.8,0.878,0.3821363378629981,4682.88934319605,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
22,28647,1.3160529096921285,0.8,0.896,0.3817825530032299,4683.569792484843,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
23,27229,1.3185664772987367,0.8,0.906,0.3819615160139364,4682.650847764709,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
24,27643,1.3156936208407084,0.8,0.87,0.38206149173009657,4682.9892835375,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
25,28111,1.3166686415672302,0.8,0.884,0.3818535403457246,4682.649337376657,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
26,29547,1.322452712059021,0.8,0.926,0.38184390636098275,4683.374678574502,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
27,28028,1.3177817662556965,0.8,0.89,0.3819954554240801,4683.395194123452,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
28,28503,1.3378131190935771,0.8,0.898,0.38212542874515837,4681.586969930608,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
29,27179,1.316778830687205,0.8,0.878,0.38191979642749946,4681.219369385899,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",200,500
