,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,29381,0.6384275913238525,0.8,0.904,0.3819630540870784,4682.532440197035,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
1,27584,0.640096127986908,0.8,0.876,0.3816785291229011,4683.96531218522,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
2,27591,0.6419318437576294,0.8,0.886,0.3817899661062168,4682.493753226803,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
3,27997,0.6454681475957235,0.8,0.872,0.38178779378837596,4683.600071422669,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
4,27601,0.6437252521514892,0.8,0.87,0.38180143600141797,4682.546516013539,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
5,27013,0.6457412521044413,0.8,0.886,0.3820599298543844,4682.975545360227,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
6,28212,0.6416284640630087,0.8,0.864,0.3815393329519486,4682.779339992023,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
7,28096,0.6479846994082133,0.8,0.888,0.38198365098949605,4681.8834080095485,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
8,28030,0.6509392460187277,0.8,0.896,0.3816435523468133,4682.899271584309,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
9,28575,0.6463524540265401,0.8,0.904,0.3818511309827959,4683.055849017507,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
10,27269,0.6444962978363037,0.8,0.9,0.3820909096978936,4682.732827719389,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
11,29305,0.6487548073132833,0.8,0.908,0.381997818952613,4683.213786651047,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
12,27890,0.6437507033348083,0.8,0.882,0.3819926233148187,4683.272309031138,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
13,26573,0.6450584252675374,0.8,0.882,0.38189061584944006,4683.407163258272,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
14,28599,0.6454984545707703,0.8,0.898,0.382055932902413,4683.3558867392185,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
15,26874,0.6455907821655273,0.8,0.878,0.3820690989717763,4683.150937041145,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
16,27709,0.6459890802701315,0.8,0.902,0.3818761339307422,4683.716941217479,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
17,27325,0.6471128861109415,0.8,0.892,0.3819927042265388,4683.657950389388,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
18,27065,0.6464482267697652,0.8,0.902,0.3816941369775923,4682.825918304645,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
19,26493,0.6460261384646098,0.8,0.868,0.3816573451448059,4682.227516698457,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
20,27460,0.6413952032725017,0.8,0.87,0.3820132223068831,4682.940685753617,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
21,27547,0.6504256407419841,0.8,0.896,0.38194945773550937,4681.816161612086,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
22,30156,0.6481327851613362,0.8,0.92,0.38224401213114517,4680.553529354642,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
23,27750,0.6444156924883525,0.8,0.878,0.3817210005843174,4683.9160550399265,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
24,26050,0.6478277842203776,0.8,0.896,0.38238330365424616,4682.18249831262,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
25,28945,0.6402467052141826,0.8,0.894,0.3815158699871524,4682.342878075243,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
26,29187,0.6471353610356648,0.8,0.884,0.38194907007937606,4682.084319896271,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
27,29690,0.6408969203631083,0.8,0.892,0.381905268383981,4681.628568236788,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
28,29086,0.6458313345909119,0.8,0.894,0.3820117100239007,4681.746218102941,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
29,30358,0.6456338047981263,0.8,0.904,0.3819791394755441,4682.787624314887,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
30,27051,0.6537543098131816,0.8,0.876,0.3818192786968042,4683.48497722402,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
31,27658,0.6510498285293579,0.8,0.892,0.38190802783149075,4683.333543924059,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
32,29295,0.6508076707522075,0.8,0.898,0.38186413714578354,4683.531685690254,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
33,25872,0.6444503466288248,0.8,0.858,0.3821873377963867,4685.093652086285,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
34,28677,0.6485512852668762,0.8,0.922,0.3817863524155613,4683.302469861724,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
35,28269,0.6555130004882812,0.8,0.918,0.38184828554981254,4683.901279359371,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
36,29065,0.6448163866996766,0.8,0.892,0.3819012039486197,4683.9744842296595,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
37,25604,0.643740443388621,0.8,0.846,0.3822074201425727,4681.018773682804,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
