,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,25993,0.9529852628707886,0.8,0.866,0.3821011521249491,4684.677758629949,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
1,22449,0.9343275984128316,0.8,0.824,0.3819978650886597,4682.713724399502,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
2,23054,0.9349716146787007,0.8,0.814,0.38145052358020193,4682.0983691470565,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
3,23450,0.950822389125824,0.8,0.804,0.38160696076999434,4682.814114838614,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
4,22409,0.9523826162020366,0.8,0.806,0.3816160313152169,4685.230521903589,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
5,27246,0.9408177932103475,0.8,0.884,0.3817824863745617,4681.675238043695,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
6,25304,0.9411550482114156,0.8,0.848,0.3816182328097287,4682.031057512497,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
7,22735,0.9495529254277547,0.8,0.844,0.3820602324778341,4681.307054096003,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
8,25529,0.9488284269968669,0.8,0.874,0.3823066426771235,4682.872867069513,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
9,21761,0.9412307620048523,0.8,0.81,0.3818091407898988,4683.998239793215,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
10,25487,0.9326286276181539,0.8,0.846,0.3816734029425071,4682.900798079855,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
11,25866,0.9388171593348186,0.8,0.884,0.3822227144438412,4683.046481878995,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
12,25663,0.9463764031728109,0.8,0.872,0.3818924645774057,4685.167790291303,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
13,25569,0.9371019999186198,0.8,0.858,0.3816449134872105,4684.470124007564,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
14,24329,0.9431757688522339,0.8,0.852,0.38198672660270333,4682.9089374089635,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
15,24082,0.9370718439420064,0.8,0.85,0.382118241483005,4682.124935053466,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
16,22622,0.9492580811182658,0.8,0.832,0.38193689089981075,4683.304585931177,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
17,22236,0.9514034907023112,0.8,0.824,0.3818086854488082,4683.524047663875,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
18,27473,0.9395615776379903,0.8,0.876,0.38202951909059346,4682.864698468021,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
19,28033,0.9371404886245728,0.8,0.888,0.381856402720777,4682.242657003714,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
20,27153,0.9398873408635458,0.8,0.866,0.3822762028523734,4682.2727499672,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
21,26325,0.9475892265637715,0.8,0.862,0.3822293348806103,4682.315263334502,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
22,22466,0.9482363820075989,0.8,0.826,0.38165905889120055,4683.385209569102,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
23,26431,0.9385060509045918,0.8,0.856,0.3819470028514142,4683.627517422303,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
24,25710,0.9423769434293111,0.8,0.842,0.38207013983029847,4682.518163104501,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
25,22686,0.9484787384668986,0.8,0.806,0.38154502627302506,4682.677352671313,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
26,22486,0.9438372174898784,0.8,0.812,0.3821417856537954,4682.140226122628,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
27,24036,0.9522591670354207,0.8,0.842,0.3822652548065955,4680.293469654202,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
28,24369,0.9527450362841289,0.8,0.836,0.3817636488752636,4683.451187416482,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
29,23062,0.9571432749430339,0.8,0.852,0.38159312722690686,4685.046979120045,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
30,25867,0.942642084757487,0.8,0.884,0.38198786958780684,4683.699485012234,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
31,24208,0.9449208855628968,0.8,0.82,0.3817334043327775,4683.593393488817,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
32,29075,0.9582040985425313,0.8,0.884,0.381982938520015,4681.730702401607,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
33,24409,0.9632826487223307,0.8,0.876,0.3817823566206481,4683.369476343535,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
34,22818,0.9504475315411886,0.8,0.838,0.38144301293861566,4681.738213458577,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
35,19325,0.950477679570516,0.8,0.744,0.38201225589230153,4683.287701918031,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",200,500
