,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,27092,2.015376583735148,0.8,0.878,0.38242571814033166,4683.878187284513,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
1,28406,2.0183879772822064,0.8,0.872,0.38241441343068167,4682.017160746819,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
2,28942,2.10375812848409,0.8,0.898,0.3818416705865733,4682.565695831932,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
3,26596,1.9692066391309102,0.8,0.846,0.38192016595305023,4683.412727741348,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
4,28051,1.9974148511886596,0.8,0.868,0.38192427038176263,4681.980917299183,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
5,28977,2.2742204348246258,0.8,0.908,0.3816788182348946,4683.286217409095,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
6,28750,2.1964516162872316,0.8,0.904,0.3818370166865392,4684.636420369134,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
7,28983,2.1524657011032104,0.8,0.878,0.3822864760793565,4682.643316663449,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
8,26221,2.005340274175008,0.8,0.866,0.38199074855953274,4683.043279556217,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
9,27712,2.081106154123942,0.8,0.898,0.38183803877950434,4684.869627432382,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
10,28848,2.034814437230428,0.8,0.916,0.3818058062025737,4683.73540804486,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
11,28811,2.049611202875773,0.8,0.888,0.3818391935951396,4682.573267781053,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
12,28453,2.202603852748871,0.8,0.892,0.38183059176171347,4684.2087768746005,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
13,27873,2.2320101777712504,0.8,0.888,0.38186604460464585,4682.091832728428,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
14,27499,2.139188333352407,0.8,0.876,0.3821774180501866,4681.568472486449,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
15,27601,2.1188900391260783,0.8,0.876,0.38178483885835646,4681.639067725743,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
16,28403,2.0304728468259174,0.8,0.896,0.38201574732555993,4683.365466724951,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
17,27417,1.9913512349128724,0.8,0.904,0.38185338735320956,4681.78405864733,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
18,28921,1.9106726010640462,0.8,0.922,0.3820932012919308,4681.845603048725,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
19,27957,1.87920077641805,0.8,0.894,0.38236940239002437,4683.328419666699,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
20,27188,2.0027703801790873,0.8,0.862,0.38181510183556006,4682.569637869313,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
21,28453,1.9298224051793416,0.8,0.88,0.3818018974782735,4683.8620482168135,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
22,28388,1.9549204309781392,0.8,0.922,0.38210615666250247,4682.381473364756,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
23,27366,2.022607402006785,0.8,0.872,0.38199370203867145,4682.359600616431,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
24,27608,1.93735777537028,0.8,0.894,0.3820848744813073,4683.752214576536,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
25,28086,2.0864298741022744,0.8,0.88,0.3819473300552251,4683.264302644299,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
26,26845,1.9473832766215007,0.8,0.858,0.3817693583914406,4682.637809416196,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
27,28903,1.9109866579373678,0.8,0.898,0.3820024478140218,4681.760578693451,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
28,25619,1.9384428222974142,0.8,0.886,0.3821623154406869,4682.7323427590845,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
29,28461,1.9158317526181539,0.8,0.884,0.3818504301716144,4682.12069406235,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
30,28898,1.8659180601437886,0.8,0.886,0.38201975576226344,4682.084406319487,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
31,28508,1.9146681865056356,0.8,0.906,0.381870054854796,4683.292465712595,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
32,27213,1.9584397435188294,0.8,0.856,0.3816637988905286,4683.853076852449,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
33,27909,1.9805749734242757,0.8,0.902,0.38177985745002146,4683.568944820511,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
