,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,20360,0.8202747225761413,0.8,0.794,0.3816920551692526,4683.124299318165,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
1,24586,0.8314188043276469,0.8,0.868,0.38172326520621663,4683.66419981212,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
2,24227,0.8277167995770772,0.8,0.858,0.38157940754447156,4684.667683414685,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
3,24409,2.477409807840983,0.8,0.874,0.38196633169079525,4682.559367896126,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
4,17986,0.829588794708252,0.8,0.772,0.3819535626182799,4683.795399043471,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
5,26231,0.8237742861111959,0.8,0.868,0.38188417961448506,4682.897905714887,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
6,20562,1.6520830432573954,0.8,0.78,0.38187399059389077,4685.396729166507,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
7,11758,0.8266518433888753,0.8,0.534,0.3818833015978844,4684.3309841961745,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
8,25065,0.8256126721700032,0.8,0.882,0.38177805426127237,4683.6729397011095,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
9,24537,3.3001813173294066,0.8,0.842,0.38205123603244223,4683.968685767651,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
10,28069,1.6589905579884847,0.8,0.884,0.38221149448892977,4684.534153671791,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
11,24388,0.8341955304145813,0.8,0.842,0.38227894351857483,4682.00065968,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
12,26979,0.8229809204737345,0.8,0.872,0.38207390476781494,4682.947301158591,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
13,26419,0.8257132530212402,0.8,0.864,0.38192701335461543,4682.268127420379,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
14,29631,2.471886130174001,0.8,0.9,0.3818961511948416,4683.499386198074,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
15,28620,4.966894733905792,0.8,0.898,0.3818018811184924,4684.397799116378,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
16,23733,3.312630128860474,0.8,0.834,0.3818127068026336,4683.962893680621,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
17,25974,1.6535528341929118,0.8,0.86,0.38180420585552555,4682.149509145227,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
18,28387,1.649929118156433,0.8,0.87,0.3818672904220167,4683.485312825511,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
19,26069,3.2915603041648867,0.8,0.864,0.38203604079545556,4682.275522626747,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
20,25675,4.132470909754435,0.8,0.856,0.3822162864367535,4682.661224760518,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
21,24697,1.6409798622131349,0.8,0.856,0.38219977123419757,4683.391115281028,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
22,26187,1.6568644245465596,0.8,0.876,0.3820830477170529,4685.004006171926,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
23,26370,2.459621846675873,0.8,0.876,0.38175668189657364,4683.566777644412,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
24,28999,0.8227625687917074,0.8,0.918,0.3820236435202203,4682.435254787902,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
25,23038,1.635631759961446,0.8,0.818,0.38168553266885535,4682.452793469334,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
26,29422,0.8129731257756551,0.8,0.906,0.3817780875140888,4683.802576449373,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
27,25082,0.8192997177441915,0.8,0.85,0.38190195602382543,4682.7524899613945,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
28,27827,0.814659035205841,0.8,0.89,0.3820830310672008,4683.2288584317,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
29,28740,4.076425155003865,0.8,0.932,0.38176805385476087,4684.40872208174,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
30,29115,0.8170042634010315,0.8,0.9,0.38206528144523466,4681.914638500448,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
31,20541,4.1012633562088014,0.8,0.776,0.3816884454554464,4683.327488752432,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',3,"[30000, 40000, 50000]",300,500
