,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,22214,1.3741649548212687,0.8,0.816,0.38181833921182023,4683.665850622964,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
1,22727,1.367449696858724,0.8,0.812,0.3822973544656863,4682.614645120284,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
2,22513,1.3718149264653523,0.8,0.808,0.3821051443455506,4681.669249263899,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
3,23140,1.3743221163749695,0.8,0.826,0.38194438114248075,4682.622731928032,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
4,24273,1.3722156484921773,0.8,0.842,0.3821666849849991,4682.725772633753,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
5,22202,1.3637630224227906,0.8,0.826,0.38185185337783356,4684.552872690015,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
6,21115,1.3589492678642272,0.8,0.802,0.38164024098489674,4683.135989259747,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
7,23502,1.3751454869906108,0.8,0.852,0.38193898008416793,4683.310838452025,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
8,22039,1.3668293952941895,0.8,0.822,0.3818370340098618,4682.29735369988,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
9,24475,1.362941292921702,0.8,0.846,0.3818150167570938,4684.003813400722,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
10,24277,1.368303390343984,0.8,0.83,0.38211641585571476,4683.870588927108,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
11,21286,1.3735893845558167,0.8,0.772,0.38157693427311085,4682.781222354091,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
12,25406,1.3600218812624614,0.8,0.848,0.38179219212450577,4683.797333108291,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
13,23023,1.3517916679382325,0.8,0.84,0.38199672330048917,4681.71168966141,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
14,23222,1.3681601603825888,0.8,0.826,0.38209935995854205,4683.595750578024,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',5,"[20000, 30000, 40000, 50000, 60000]",300,500
