,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,18189,1.8888146837552389,0.8,0.736,0.3817168311173872,4683.36760605103,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
1,21905,1.9344524582227072,0.8,0.794,0.38234851222743765,4682.66259394959,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
2,21190,1.9242660840352377,0.8,0.816,0.3820545033518873,4683.240197737577,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
3,21688,1.9309670686721803,0.8,0.798,0.38218982176851785,4684.234056516013,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
4,21035,1.9142988642056784,0.8,0.8,0.3819993018800529,4683.132755386788,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
5,20535,1.9341970443725587,0.8,0.776,0.3819393974361679,4683.044530498811,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
6,21301,1.9362538933753968,0.8,0.78,0.3819532530688928,4684.1103049128915,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
7,20249,1.9196235458056132,0.8,0.738,0.38198310478410064,4682.782234351611,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
8,18979,1.9047809958457946,0.8,0.786,0.3818553047685648,4683.089019311664,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
9,18279,1.9286893924077353,0.8,0.748,0.3819013403052364,4685.1377348424785,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
10,20077,1.9440303325653077,0.8,0.81,0.38180229580209823,4683.684730727091,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
11,19213,1.926168390115102,0.8,0.734,0.3817728811280725,4682.0389344612,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
12,18730,1.9274202187856038,0.8,0.756,0.3824665557298309,4681.936626620749,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
13,22586,1.9415064295132956,0.8,0.806,0.3818555158982213,4682.275876348487,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
14,18480,1.9178240219751994,0.8,0.75,0.38149674330232214,4684.536470029394,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
15,20700,1.950201944510142,0.8,0.842,0.38178139875526385,4681.975261432877,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
16,17183,1.9335389574368795,0.8,0.704,0.3818560832294123,4682.825132473825,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
17,20632,1.943017597993215,0.8,0.782,0.38197996385523625,4684.63496133666,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
18,20858,1.9354503909746805,0.8,0.806,0.38155330248470465,4684.837555760732,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
19,22728,1.9236557483673096,0.8,0.822,0.38199584998317965,4682.662421212673,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
20,19469,1.9346961379051208,0.8,0.776,0.382014431568213,4682.313128027477,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
21,19096,1.9678680300712585,0.8,0.728,0.38225158516607677,4681.879259817017,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
22,19812,1.9490482807159424,0.8,0.778,0.3819606880454881,4681.640961104212,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
23,21127,1.9306094209353128,0.8,0.816,0.382033301820976,4683.163261187549,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
24,18530,1.9381010373433432,0.8,0.742,0.38200862425679594,4681.421379789072,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
25,22230,1.932038160165151,0.8,0.836,0.38177657700449763,4684.824222489536,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
26,20984,1.9248059709866843,0.8,0.802,0.3818235647089787,4682.733897541196,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",300,500
