,Recommended N,Time Required,Desired Power,Actual Power,Avg. R-Squared,Mean Cond. Number,Model Specification,# Points,Points,Simulations per Point,Verification Simulations
0,17184,0.5473925073941549,0.8,0.668,0.3821471999609393,4682.936253644126,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
1,21899,0.5292730768521626,0.8,0.808,0.3818661650268611,4682.750392150213,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
2,18296,0.5276888449986775,0.8,0.738,0.38172260967239247,4683.442250516197,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
3,22051,0.5272896766662598,0.8,0.806,0.3815969943389169,4683.221008064751,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
4,25449,0.530862549940745,0.8,0.88,0.38198028910437937,4682.96239340457,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
5,20195,0.5350334286689759,0.8,0.756,0.38152787786666864,4683.479164663705,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
6,20781,0.5649575511614482,0.8,0.796,0.3820262966971936,4684.183735120457,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
7,21530,0.5862118323644002,0.8,0.826,0.38172813016278695,4682.765866264101,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
8,19136,0.6111864050229391,0.8,0.742,0.3816618275650963,4683.7119124097335,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
9,16613,0.6353476524353028,0.8,0.678,0.38195452759704224,4683.6563352464245,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
10,19166,0.6183117548624675,0.8,0.754,0.3819973115140315,4682.128706199311,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
11,21965,0.6304176966349284,0.8,0.834,0.3820600173482733,4682.5273020891345,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
12,22615,0.6506349245707194,0.8,0.846,0.3823423439407512,4681.758642844366,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
13,21997,0.6585060516993205,0.8,0.816,0.3820392946454231,4683.357593668919,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
14,23344,0.6395883520444234,0.8,0.83,0.3819029390010005,4684.123638810261,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
15,20768,1.3474103093147278,0.8,0.806,0.38176784341016384,4683.499521584159,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
16,21584,0.6302669445673624,0.8,0.828,0.382219207191044,4682.206482094772,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
17,19018,0.75538436571757,0.8,0.778,0.38199261917407484,4683.74479736168,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
18,18770,0.6607044418652852,0.8,0.758,0.38198330724720114,4683.73633299799,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
19,23817,0.7539547204971313,0.8,0.838,0.38189701910082424,4681.031668273887,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
20,24064,0.7426401297251384,0.8,0.86,0.3820161005240525,4682.294996672455,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
21,23293,0.6622396349906922,0.8,0.842,0.3822601532707969,4683.276361171734,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
22,17238,0.6678047219912211,0.8,0.752,0.38183525657043615,4683.204201974535,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
23,22452,0.6681369066238403,0.8,0.822,0.38198907914694413,4683.279237846079,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
24,21672,0.6311614712079366,0.8,0.816,0.3815999399472832,4684.024986825805,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
25,20324,0.6780262152353923,0.8,0.786,0.3818461517237701,4684.399431690184,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
26,19230,0.6205941875775655,0.8,0.75,0.3822037000875281,4682.288222747536,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
27,24566,0.626680874824524,0.8,0.832,0.38187361760831745,4683.385831871913,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
28,21494,0.6307546218236287,0.8,0.798,0.3818520286951555,4683.372364870279,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
29,18920,0.6425045847892761,0.8,0.76,0.38170854065720605,4684.0652914018165,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
30,22696,0.6367758989334107,0.8,0.83,0.3816643442180547,4683.230954634552,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
31,23485,0.6331866423288981,0.8,0.816,0.3817560956534717,4682.808727079647,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
32,21461,0.661263660589854,0.8,0.81,0.38177806136973463,4684.707488031332,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
33,20690,0.6494848171869914,0.8,0.798,0.3821724261286527,4683.382065160528,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
34,19737,0.6342707713445027,0.8,0.758,0.38180171148597863,4682.220776172951,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
35,16793,0.6367674469947815,0.8,0.69,0.3822551355675895,4684.710551591902,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
36,20395,0.6677512605985005,0.8,0.76,0.3821269788689209,4681.2038516170915,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
37,24832,0.633647092183431,0.8,0.856,0.38187855643555063,4683.376485059458,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
38,22403,0.6379631241162618,0.8,0.804,0.38206109929791676,4682.330961163783,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
39,21777,0.637116527557373,0.8,0.82,0.3814892021214733,4684.493736501215,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
40,19758,0.6492083311080933,0.8,0.784,0.38135749335898966,4682.83455641314,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
41,23242,0.6465726971626282,0.8,0.824,0.3820896280965817,4681.965564465009,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',7,"[10000, 20000, 30000, 40000, 50000, 60000, 70000]",100,500
