,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.876,1282,0.36828472519530137,823.26349995728,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5163155953089396
1,0.886,1301,0.36740808701795813,823.8714369780263,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4175723354021708
2,0.896,1303,0.36744041983143344,824.3523396596445,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.334261385599772
3,0.874,1283,0.3674133901941596,823.0640324456186,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4460346698760986
4,0.894,1338,0.36811028138532936,822.8069504757253,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3742554823557536
5,0.926,1427,0.36835251836250127,822.347754902566,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4150381167729695
6,0.872,1218,0.36834527360898317,821.8518699403027,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3815908710161844
7,0.866,1262,0.3680676087406506,822.4455768188998,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3306045611699422
8,0.884,1284,0.36799912678641933,823.1884243685089,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3085779746373494
9,0.868,1301,0.36746225746692396,822.7231276693542,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3082065860430399
10,0.852,1288,0.3690844573273742,821.7558280571301,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.3094337304433188
11,0.836,1231,0.3681590579210478,822.1292011863271,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.305770186583201
12,0.862,1283,0.36877297435819706,820.8670305602336,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.306497855981191
