,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.862,26582,0.3602469530117812,816.5166400496851,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.468322988351186
1,0.86,28184,0.3609490576109806,815.8229972685442,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.717899493376414
2,0.852,27786,0.360852070269097,815.6230875588604,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.661463526884715
3,0.864,27847,0.3604168058659209,816.202774087651,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8544559439023334
4,0.866,26376,0.36078402249674724,815.6136561259918,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8835850914319354
5,0.892,29725,0.36070093617337295,815.4769101427436,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.787630101044973
6,0.854,26495,0.36065183686395214,815.8439771090431,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.0806507309277853
7,0.814,26037,0.36081810244295975,815.2710834552207,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.044873225688934
8,0.852,26743,0.3607269135434277,815.4622073178348,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.9371937910715737
9,0.88,28022,0.3611374982331717,815.1630279453897,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.872657517592112
10,0.876,26615,0.36095455394707165,815.568225253777,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.7237412214279173
11,0.85,25603,0.3606811411955572,816.0149149687651,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.699345842997233
12,0.824,24647,0.3606118369738408,815.5127303033945,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.7700034697850544
13,0.862,28096,0.36054310713128973,816.0362107341252,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8357103784879047
14,0.864,26298,0.36038133332191746,816.591185248672,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8728488723436993
15,0.896,26418,0.36112164341823827,815.3715586078375,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8872068603833516
16,0.88,29420,0.3606239179371456,816.0272804892511,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8135980367660522
17,0.88,28503,0.36097239205201564,815.3518034092796,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.789888322353363
18,0.834,25921,0.36076178639012263,816.098311845391,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8847702741622925
19,0.914,29002,0.3606373662647002,815.7959845969415,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.844758029778798
20,0.856,26474,0.3607910125505953,815.45962058059,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8693434476852415
21,0.868,28049,0.36063556810409436,815.9870884060588,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.977382755279541
22,0.868,27250,0.3605348406597136,815.7281862455053,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8898256699244182
23,0.872,27360,0.3610007801490645,815.3116885783814,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8710190653800964
24,0.89,27833,0.3607750215007459,815.7491595417981,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8329161326090495
25,0.842,27076,0.3607004720653412,815.7027344445895,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.0975788990656534
26,0.866,27656,0.360973845186671,815.4460793936756,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.3339911182721456
27,0.862,24767,0.3606964981429472,815.9173831740137,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.9782334129015604
28,0.884,27861,0.36077829633266006,815.9744461008786,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.861582879225413
29,0.884,27986,0.36059601065368085,815.9165008977005,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.7555814425150555
30,0.868,28879,0.36070013258274686,815.7796392544969,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.7652868191401163
31,0.878,29133,0.3610000486592619,815.3680186847806,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8144455790519713
32,0.862,26942,0.36051912835082295,815.8887900730277,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.78380108277003
33,0.856,28013,0.3605036312144247,816.0885049746447,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.9027674476305645
34,0.854,26798,0.36030617376997537,816.1024426562944,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8613518993059794
35,0.858,27459,0.36046830361043675,815.839990186455,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.863126806418101
36,0.852,27428,0.360796951937221,815.7174378850542,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.8972368200620013
37,0.874,28399,0.36082911755163977,815.6958799182302,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.9577529311180113
38,0.872,28281,0.36073981611303724,815.8220749722195,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.0301968534787496
39,0.876,28182,0.36083858777006206,815.7130374132904,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.179957151412964
