,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.844,40809,0.0002601661225545657,2.60917717426678,Order_Amt = 'Treated',4,200,5,200,500,3.189925968647003
1,0.81,39653,0.00025872457644975387,2.6098775124307156,Order_Amt = 'Treated',4,200,5,200,500,2.793069318930308
2,0.814,40295,0.0002602076728620697,2.609932854214552,Order_Amt = 'Treated',4,200,5,200,500,2.639832615852356
3,0.846,39950,0.0002735907070927657,2.6094945234490754,Order_Amt = 'Treated',4,200,5,200,500,2.2927722454071047
4,0.822,41865,0.0002470122021306618,2.6102590472645866,Order_Amt = 'Treated',4,200,5,200,500,2.428231867154439
5,0.822,40958,0.00025593535368301223,2.6096380769381304,Order_Amt = 'Treated',4,200,5,200,500,2.4998005747795107
6,0.842,43245,0.0002559235253807468,2.609542314038487,Order_Amt = 'Treated',4,200,5,200,500,2.5295602758725484
7,0.81,39784,0.0002597158496875516,2.609546243764092,Order_Amt = 'Treated',4,200,5,200,500,2.5399094740549724
8,0.794,37045,0.0002669256358616303,2.609360449247747,Order_Amt = 'Treated',4,200,5,200,500,2.5752598524093626
9,0.784,38607,0.0002538188352312416,2.609452888376913,Order_Amt = 'Treated',4,200,5,200,500,2.568120276927948
10,0.86,41607,0.0002607173393807896,2.6094238028480636,Order_Amt = 'Treated',4,200,5,200,500,2.593446985880534
11,0.794,41724,0.00025013416420658664,2.6096219450863662,Order_Amt = 'Treated',4,200,5,200,500,2.58608904282252
12,0.804,38547,0.0002472757261939933,2.6093173503720655,Order_Amt = 'Treated',4,200,5,200,500,2.5677825887997945
13,0.838,42106,0.0002611527898609496,2.609708928113368,Order_Amt = 'Treated',4,200,5,200,500,2.5610484798749287
14,0.824,41437,0.00025802278561751815,2.6094798747328163,Order_Amt = 'Treated',4,200,5,200,500,2.5697166959444684
15,0.802,38804,0.0002573054635850236,2.6095608088293543,Order_Amt = 'Treated',4,200,5,200,500,2.57586510181427
16,0.818,42523,0.00024516750941170164,2.6098749271491535,Order_Amt = 'Treated',4,200,5,200,500,2.591487125555674
17,0.834,39237,0.0002574440503689697,2.609921269875188,Order_Amt = 'Treated',4,200,5,200,500,2.591845981280009
18,0.796,40942,0.0002518154721125181,2.609199429408989,Order_Amt = 'Treated',4,200,5,200,500,2.608711842695872
