,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.836,1777,0.004923394639816908,2.6160366418861445,Order_Amt = 'Treated',4,200,5,200,500,1.5042063395182292
1,0.764,1686,0.004514316279309991,2.61862707881628,Order_Amt = 'Treated',4,200,5,200,500,1.3927421649297078
2,0.862,1851,0.004857308095947639,2.6174597746026116,Order_Amt = 'Treated',4,200,5,200,500,1.4980414112408955
3,0.828,1730,0.005052820769158307,2.6172878300493987,Order_Amt = 'Treated',4,200,5,200,500,1.5085564215977987
4,0.862,1841,0.005048468470374292,2.6153926236577085,Order_Amt = 'Treated',4,200,5,200,500,1.4693905154863993
5,0.824,1807,0.004889814601622278,2.615751962667838,Order_Amt = 'Treated',4,200,5,200,500,1.5025519092877706
6,0.856,1823,0.004696295866521659,2.61534413170503,Order_Amt = 'Treated',4,200,5,200,500,1.5148657838503519
7,0.848,1785,0.004753237007940416,2.6171286087726524,Order_Amt = 'Treated',4,200,5,200,500,1.5718261003494263
8,0.86,1784,0.0048823045066656474,2.617587531422474,Order_Amt = 'Treated',4,200,5,200,500,1.6144322037696839
9,0.842,1781,0.004883854478040956,2.616886019952409,Order_Amt = 'Treated',4,200,5,200,500,1.656318759918213
10,0.842,1802,0.004743957094469809,2.6149920341252737,Order_Amt = 'Treated',4,200,5,200,500,1.594106944402059
11,0.868,1814,0.004887314004427825,2.6166012009816018,Order_Amt = 'Treated',4,200,5,200,500,1.5014368414878845
12,0.836,1830,0.004729464294288714,2.6157915999998784,Order_Amt = 'Treated',4,200,5,200,500,1.4937869668006898
13,0.814,1818,0.004923291781029165,2.6187668256775396,Order_Amt = 'Treated',4,200,5,200,500,1.6864331801732382
14,0.808,1767,0.004610253887618863,2.6159242514498926,Order_Amt = 'Treated',4,200,5,200,500,1.6143764893213908
15,0.82,1816,0.004752978022117462,2.616423978053024,Order_Amt = 'Treated',4,200,5,200,500,1.5932942271232604
16,0.846,1858,0.004743076528904575,2.6169209994429883,Order_Amt = 'Treated',4,200,5,200,500,1.6189933180809022
17,0.844,1808,0.004701034302504436,2.6166814189835743,Order_Amt = 'Treated',4,200,5,200,500,1.7184645732243855
18,0.83,1757,0.005169240138600433,2.617148376637071,Order_Amt = 'Treated',4,200,5,200,500,1.5947261571884155
19,0.812,1771,0.004620105285990902,2.6157391498663345,Order_Amt = 'Treated',4,200,5,200,500,1.4620551625887552
20,0.822,1807,0.004960861002081117,2.616005624063919,Order_Amt = 'Treated',4,200,5,200,500,1.524226725101471
21,0.84,1786,0.0048900345650633266,2.6169942548261296,Order_Amt = 'Treated',4,200,5,200,500,1.5808273712793985
22,0.856,1860,0.004743709746339191,2.6145682963001997,Order_Amt = 'Treated',4,200,5,200,500,1.7082733790079752
23,0.822,1765,0.004760998231115235,2.6180547923929582,Order_Amt = 'Treated',4,200,5,200,500,1.724840474128723
24,0.862,1829,0.004768046539140203,2.6156143075268696,Order_Amt = 'Treated',4,200,5,200,500,1.64225492477417
25,0.798,1722,0.004592588946141377,2.618031621822225,Order_Amt = 'Treated',4,200,5,200,500,1.4779229124387105
26,0.836,1809,0.004782702003010129,2.6161029235832403,Order_Amt = 'Treated',4,200,5,200,500,1.5675344904263815
27,0.854,1774,0.004984952094770273,2.6141181041716375,Order_Amt = 'Treated',4,200,5,200,500,1.833176052570343
28,0.836,1792,0.0047813400674419654,2.61767121856006,Order_Amt = 'Treated',4,200,5,200,500,1.8038328965504964
29,0.822,1716,0.0048552399072983145,2.615311447811768,Order_Amt = 'Treated',4,200,5,200,500,1.6201169967651368
30,0.836,1794,0.005095350021732827,2.6156801915017027,Order_Amt = 'Treated',4,200,5,200,500,1.6659390171368917
31,0.818,1775,0.004948558528141211,2.6150982449347127,Order_Amt = 'Treated',4,200,5,200,500,1.5480171203613282
32,0.828,1797,0.004713807762317135,2.6141823414692786,Order_Amt = 'Treated',4,200,5,200,500,1.4884787718454997
33,0.812,1723,0.005072081160940309,2.6160623105992493,Order_Amt = 'Treated',4,200,5,200,500,1.48504825035731
34,0.828,1717,0.004721137880738814,2.6164414592640077,Order_Amt = 'Treated',4,200,5,200,500,1.6264540473620097
35,0.814,1728,0.0048351377845565185,2.6149486863215854,Order_Amt = 'Treated',4,200,5,200,500,1.6577005505561828
36,0.838,1850,0.004773461976160584,2.6170127644124825,Order_Amt = 'Treated',4,200,5,200,500,1.6447378993034363
37,0.854,1815,0.0051193664350982606,2.6171109802536043,Order_Amt = 'Treated',4,200,5,200,500,1.5236908435821532
38,0.8,1697,0.0047228490852870035,2.6176673810247943,Order_Amt = 'Treated',4,200,5,200,500,1.5680197914441427
39,0.806,1756,0.004795171030211911,2.6155206897767167,Order_Amt = 'Treated',4,200,5,200,500,1.5546212792396545
40,0.798,1720,0.004951674620818068,2.6137227585435863,Order_Amt = 'Treated',4,200,5,200,500,1.6027539571126301
41,0.83,1795,0.0048607625505971115,2.615302062711287,Order_Amt = 'Treated',4,200,5,200,500,1.5657668908437092
42,0.844,1812,0.004785784663471891,2.614225072212969,Order_Amt = 'Treated',4,200,5,200,500,1.6788295030593872
43,0.824,1697,0.004901498654947305,2.615621782255039,Order_Amt = 'Treated',4,200,5,200,500,1.543392781416575
44,0.886,1776,0.005076815209771339,2.6156824798392195,Order_Amt = 'Treated',4,200,5,200,500,1.5409591992696126
45,0.86,1827,0.005054534054229398,2.6159404974320815,Order_Amt = 'Treated',4,200,5,200,500,1.4754984021186828
46,0.82,1762,0.004918876311637676,2.615802780706252,Order_Amt = 'Treated',4,200,5,200,500,1.5223638534545898
47,0.832,1717,0.00495186732876995,2.61462846789281,Order_Amt = 'Treated',4,200,5,200,500,1.4821464618047078
48,0.828,1789,0.005000840411796995,2.615228321942055,Order_Amt = 'Treated',4,200,5,200,500,1.5011805931727091
49,0.83,1761,0.004965021033067668,2.615465683967441,Order_Amt = 'Treated',4,200,5,200,500,1.5242208957672119
50,0.834,1746,0.00501333786915915,2.6171611609695824,Order_Amt = 'Treated',4,200,5,200,500,1.5491636713345847
51,0.81,1775,0.004813716424956259,2.6173797102100504,Order_Amt = 'Treated',4,200,5,200,500,1.5628519455591838
52,0.792,1759,0.004402334103850152,2.6137755602990036,Order_Amt = 'Treated',4,200,5,200,500,1.6705166776974996
53,0.81,1705,0.004715156651260981,2.6141310311132067,Order_Amt = 'Treated',4,200,5,200,500,1.900736435254415
54,0.814,1743,0.0051085413564204325,2.6142067358816488,Order_Amt = 'Treated',4,200,5,200,500,1.5374575177828471
55,0.808,1753,0.004790925642465664,2.616387361117364,Order_Amt = 'Treated',4,200,5,200,500,1.5650975545247396
56,0.824,1826,0.004744552287514407,2.6165912353315575,Order_Amt = 'Treated',4,200,5,200,500,1.7645420869191488
57,0.824,1732,0.00487884868678579,2.6154230583903004,Order_Amt = 'Treated',4,200,5,200,500,1.5182692050933837
58,0.818,1712,0.004854436426112892,2.617635268386494,Order_Amt = 'Treated',4,200,5,200,500,1.6048380613327027
59,0.86,1829,0.004904970936605181,2.6179391096633884,Order_Amt = 'Treated',4,200,5,200,500,1.4692259510358174
60,0.826,1795,0.004765713918239637,2.6151223656656373,Order_Amt = 'Treated',4,200,5,200,500,1.4726612130800882
61,0.814,1711,0.004833840853653292,2.6154117860226993,Order_Amt = 'Treated',4,200,5,200,500,1.4921175678571066
62,0.824,1811,0.004590012357313865,2.6146183814479866,Order_Amt = 'Treated',4,200,5,200,500,1.4743847091992697
63,0.854,1797,0.004965329307126776,2.6180584423225026,Order_Amt = 'Treated',4,200,5,200,500,1.4395269274711608
