,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.866,29751,0.39497783051416,2988.962889779,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.66902841726939
1,0.85,28213,0.395741374761125,2951.19891171378,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.51654378970464
2,0.852,29802,0.394798188825656,2996.87641629516,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.61454060475032
3,0.844,28897,0.395406513635108,2973.53828892478,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.82634581724803
4,0.846,29977,0.394754443176998,3004.33974322012,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.33555822372436
5,0.856,29618,0.394970820710797,2990.19765028374,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.2097718278567
6,0.852,28018,0.395740960815857,2944.99670148551,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.40209650198619
7,0.836,29452,0.394843127326018,2990.68253756749,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.33050801356634
8,0.858,29516,0.394845367135001,2986.36529985749,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.31368297338486
9,0.866,30759,0.394232768434402,3020.85888733027,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.47894927660624
10,0.846,29225,0.395106056342556,2985.01627918846,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.22941009203593
11,0.874,28652,0.395358296990562,2959.59547261781,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.32701286872228
12,0.848,28508,0.395151867964182,2958.74662818548,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.2795689980189
13,0.838,29135,0.395089770752701,2978.2411035789,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.27308588425318
14,0.84,29354,0.394881138732096,2988.2497837177,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.49914995034536
15,0.86,29324,0.3951677821336,2981.87370762546,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.24022450049718
16,0.866,30394,0.394797174872498,3015.9887643662,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.38187906344732
17,0.87,30639,0.394493769969819,3015.59713950365,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.7552766919136
18,0.858,29839,0.394774709763249,3001.1145122916,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,3.48071536620458
