,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.878,5466,0.459760486332989,1712.17284940116,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.6554639895757
1,0.882,5284,0.462963596247953,1692.78016856133,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.70542839765549
2,0.878,5313,0.461533593535415,1697.64264302518,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.64832705656687
3,0.896,5423,0.460173427624556,1708.48670683888,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.54554410775503
4,0.884,5260,0.462707644545641,1689.05792105661,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.49067939519882
5,0.906,5697,0.456251364685993,1735.96653922644,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.47756885290146
6,0.9,5411,0.460979834832003,1704.0202967271,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.43915814161301
7,0.89,5397,0.460787435953962,1704.56527199721,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.44740993579229
8,0.868,5345,0.461804053390938,1699.27825024134,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.48897365729014
9,0.868,5470,0.45945973994997,1712.51517646471,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.50367643435796
10,0.872,5316,0.461855698628923,1697.19470172268,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.51751457850138
11,0.906,5720,0.456278680358786,1739.31194555769,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.53516050179799
12,0.914,5492,0.458726836692433,1716.35533973498,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.54922773043315
13,0.876,5370,0.461741291064078,1701.40560364012,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.54841703971227
14,0.902,5563,0.458340316583048,1724.51367198797,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.56584691206614
15,0.886,5401,0.461173073882703,1703.98610806689,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.56610763470332
16,0.866,5473,0.459108245930088,1714.76429135237,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.56909364064535
17,0.874,5143,0.464888481965823,1677.07641093791,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.58309321800868
18,0.866,5493,0.459772387162379,1712.46259649669,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.57513120969137
19,0.852,5381,0.460695008072415,1703.81129142646,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.58504923582077
20,0.88,5297,0.462700405809725,1694.0739028293,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5874095638593
21,0.886,5352,0.460914635702564,1700.29478849777,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.60901369651159
22,0.894,5358,0.461245387286337,1698.4437482524,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.73712233304977
23,0.868,5284,0.462690604319181,1692.73661629283,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.81901764074961
24,0.878,5274,0.462746551961661,1690.59138500958,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,2.09140813748042
25,0.882,5420,0.460522368211242,1708.53274331973,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.48816310962041
26,0.9,5285,0.462519434744924,1692.95870852954,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52205790281296
27,0.866,5303,0.462570615919388,1694.52023589288,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52566706339518
28,0.876,5409,0.460337896574845,1705.81735641397,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.50683679580688
29,0.874,5188,0.463611716125935,1684.94103258988,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.49813868204753
30,0.886,5316,0.461780862335462,1697.71163166431,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.51181489626567
31,0.876,5299,0.462284075950752,1697.23164021061,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52624967098236
32,0.908,5477,0.459692933912484,1714.29362105058,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.51885618368785
33,0.88,5301,0.462034299095656,1694.40540821854,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.51218064626058
34,0.91,5668,0.457034961983855,1731.45089408939,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.51379077831904
35,0.862,5199,0.464494569694736,1684.1635350381,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52058604955673
36,0.91,5707,0.456485140292549,1739.26842856971,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52113227446874
37,0.876,5276,0.462268211445733,1695.45687982873,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52117976347605
38,0.878,5343,0.462349049871322,1698.6790111624,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52096360127131
39,0.862,5305,0.462929685490298,1694.05729406202,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.51841036081314
40,0.886,5494,0.459515324147004,1716.14949351964,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.52582204739253
41,0.906,5449,0.459884457259445,1711.76040846227,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.50528434912364
42,0.88,5478,0.458592673142359,1715.85510413471,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.55062740643819
43,0.878,5333,0.46170592517211,1697.13742759602,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5329182545344
44,0.872,5400,0.460456901384453,1705.44727943871,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.5298167626063
