,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
60,0.862,1825,0.6008593770495866,1295.561982167008,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4494328419367473
61,0.83,1775,0.6054556304676424,1290.4790431227389,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.445332109928131
62,0.876,1876,0.5962048232791768,1300.6610494307986,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4486882527669271
63,0.852,1829,0.6000835648089995,1295.4133502024968,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.448426620165507
64,0.866,1808,0.6022437673760976,1295.0980535250908,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.442263694604238
65,0.848,1816,0.6013934527501885,1297.259181939982,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4500919858614603
66,0.878,1920,0.5915044743240709,1307.511300143337,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4476094961166381
67,0.876,1915,0.5927668951622526,1306.324482628522,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4458625197410584
68,0.852,1841,0.5994417050024372,1298.4449679647832,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4467937310536703
69,0.862,1890,0.594204521989546,1302.8100351588337,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4536885579427083
