,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.81,1936809,5.438622658400783e-05,2.62341648316936,Order_Amt = 'Treated',4,200,5,200,500,61.386076577504475
1,0.748,1692532,5.3539252089533916e-05,2.623340617955584,Order_Amt = 'Treated',4,200,5,200,500,57.844278562068936
2,0.826,1952992,5.420376230938695e-05,2.6233738188152596,Order_Amt = 'Treated',4,200,5,200,500,57.09681403239568
3,0.762,1912922,5.275721592451554e-05,2.6233666034638734,Order_Amt = 'Treated',4,200,5,200,500,53.78847896258036
4,0.814,1937923,5.3855359707378757e-05,2.623411173152765,Order_Amt = 'Treated',4,200,5,200,500,56.5752325852712
5,0.82,1969043,5.422492013407409e-05,2.6233471778524406,Order_Amt = 'Treated',4,200,5,200,500,56.57373680273692
6,0.784,1758782,5.388328914911722e-05,2.6233710767536875,Order_Amt = 'Treated',4,200,5,200,500,54.69730136791865
7,0.808,1750618,5.465306360325939e-05,2.623370082246387,Order_Amt = 'Treated',4,200,5,200,500,54.89721251328786
8,0.78,1819313,5.386533917860503e-05,2.623324045328256,Order_Amt = 'Treated',4,200,5,200,500,56.0512256304423
9,0.814,1883385,5.4240768554056905e-05,2.6233493756676363,Order_Amt = 'Treated',4,200,5,200,500,54.724252780278526
10,0.824,1736405,5.4483599187740596e-05,2.623299440588447,Order_Amt = 'Treated',4,200,5,200,500,61.56463415225347
11,0.82,1901266,5.489527433669261e-05,2.6233364088763063,Order_Amt = 'Treated',4,200,5,200,500,63.3897077480952
12,0.824,1954256,5.353107259303158e-05,2.6233211202857256,Order_Amt = 'Treated',4,200,5,200,500,59.556520303090416
13,0.79,1644659,5.466440755877588e-05,2.623298114276704,Order_Amt = 'Treated',4,200,5,200,500,56.56631355285644
14,0.836,1964123,5.432445027220312e-05,2.6233625647738243,Order_Amt = 'Treated',4,200,5,200,500,58.90747072696686
15,0.828,1778565,5.504553200390805e-05,2.6233531128732293,Order_Amt = 'Treated',4,200,5,200,500,61.970255227883655
16,0.798,1943694,5.463971223676056e-05,2.623355676309276,Order_Amt = 'Treated',4,200,5,200,500,61.91262463331223
17,0.798,1892668,5.3442614561651115e-05,2.6233639167084,Order_Amt = 'Treated',4,200,5,200,500,59.518109325567885
18,0.806,1712178,5.347274692074944e-05,2.6233200910241052,Order_Amt = 'Treated',4,200,5,200,500,60.668738389015196
19,0.816,1704659,5.486792758606263e-05,2.623407308495359,Order_Amt = 'Treated',4,200,5,200,500,55.06798864603043
20,0.76,1648081,5.3315975147464114e-05,2.623353135422952,Order_Amt = 'Treated',4,200,5,200,500,54.79053599437078
21,0.794,1986867,5.3892207170379123e-05,2.6233652369128655,Order_Amt = 'Treated',4,200,5,200,500,53.35758975346883
22,0.836,2070157,5.4071548748711115e-05,2.6232962222607465,Order_Amt = 'Treated',4,200,5,200,500,56.383770406246185
23,0.83,1953836,5.434028291939419e-05,2.6233775718234593,Order_Amt = 'Treated',4,200,5,200,500,51.316298286120094
24,0.8,1842400,5.358992477975488e-05,2.623330306543244,Order_Amt = 'Treated',4,200,5,200,500,54.37851866086324
25,0.79,1615867,5.4156846654597635e-05,2.6233054747405564,Order_Amt = 'Treated',4,200,5,200,500,55.17023888429006
26,0.802,1997498,5.383892143138325e-05,2.623400851205716,Order_Amt = 'Treated',4,200,5,200,500,54.98980621496836
27,0.802,1767878,5.405658846856176e-05,2.6233441660357126,Order_Amt = 'Treated',4,200,5,200,500,56.343417183558145
28,0.816,1897245,5.426708434027727e-05,2.6233576178290776,Order_Amt = 'Treated',4,200,5,200,500,54.670336524645485
29,0.77,1753175,5.3554086229651745e-05,2.6233053893101292,Order_Amt = 'Treated',4,200,5,200,500,60.02857410113017
30,0.77,1731654,5.382853290981204e-05,2.6233220235979933,Order_Amt = 'Treated',4,200,5,200,500,61.25012324253718
31,0.802,1898791,5.404038611061579e-05,2.623369902625916,Order_Amt = 'Treated',4,200,5,200,500,59.03285610675812
32,0.798,1876859,5.329553207582727e-05,2.6233558000193375,Order_Amt = 'Treated',4,200,5,200,500,56.569015673796336
33,0.778,1922236,5.344647433376659e-05,2.6233868117788686,Order_Amt = 'Treated',4,200,5,200,500,55.97913763920466
34,0.83,1952250,5.422703449606492e-05,2.623341881877241,Order_Amt = 'Treated',4,200,5,200,500,55.73943095207214
35,0.818,1809649,5.387548331095893e-05,2.6233669624085296,Order_Amt = 'Treated',4,200,5,200,500,55.428629485766095
36,0.792,1866647,5.2966086206960747e-05,2.623302413454516,Order_Amt = 'Treated',4,200,5,200,500,51.61801957289378
37,0.794,1890371,5.3330704302060994e-05,2.6233540634074735,Order_Amt = 'Treated',4,200,5,200,500,52.86890076001485
38,0.83,1977473,5.487358950822707e-05,2.6233093108377763,Order_Amt = 'Treated',4,200,5,200,500,51.49094566504161
39,0.784,2030935,5.357877133288591e-05,2.6233018005497395,Order_Amt = 'Treated',4,200,5,200,500,54.6985519806544
40,0.796,1919042,5.360654393308928e-05,2.6233564715146347,Order_Amt = 'Treated',4,200,5,200,500,55.29243415594101
41,0.758,1859709,5.353935513784092e-05,2.6233513401414315,Order_Amt = 'Treated',4,200,5,200,500,52.608411427338915
42,0.792,1725219,5.4029881701260106e-05,2.6232940989192155,Order_Amt = 'Treated',4,200,5,200,500,55.13763966163
43,0.798,1848168,5.383149208416627e-05,2.623324301607148,Order_Amt = 'Treated',4,200,5,200,500,55.34231464465459
44,0.834,1849503,5.4288716864100415e-05,2.6233661971384885,Order_Amt = 'Treated',4,200,5,200,500,59.39406040906906
45,0.836,1962745,5.44707009847083e-05,2.6233433854261734,Order_Amt = 'Treated',4,200,5,200,500,57.19133163690567
46,0.768,1681635,5.386223563974757e-05,2.6233413123806892,Order_Amt = 'Treated',4,200,5,200,500,55.226240797837576
47,0.786,1807122,5.3393109389395344e-05,2.6233908442667793,Order_Amt = 'Treated',4,200,5,200,500,61.86520280043284
48,0.81,1767947,5.44300462273235e-05,2.623354542648361,Order_Amt = 'Treated',4,200,5,200,500,64.84120006163916
49,0.782,1800723,5.3509630121224335e-05,2.6233829283610337,Order_Amt = 'Treated',4,200,5,200,500,63.907523353894554
50,0.774,1765446,5.359998177546221e-05,2.62333995101833,Order_Amt = 'Treated',4,200,5,200,500,60.73737016916275
51,0.818,2036014,5.457901611673566e-05,2.6233772337943053,Order_Amt = 'Treated',4,200,5,200,500,56.93040690422058
52,0.782,1831198,5.384383751178734e-05,2.6233611477125796,Order_Amt = 'Treated',4,200,5,200,500,56.85334213177363
53,0.826,1763847,5.450786956192699e-05,2.6233814739050727,Order_Amt = 'Treated',4,200,5,200,500,56.54795019626617
54,0.786,1883297,5.414084574938971e-05,2.6233265402317687,Order_Amt = 'Treated',4,200,5,200,500,57.732922502358754
55,0.824,1965438,5.397001646044997e-05,2.6232962439342282,Order_Amt = 'Treated',4,200,5,200,500,53.14824131727219
56,0.79,1965532,5.3617927054928624e-05,2.623360926654577,Order_Amt = 'Treated',4,200,5,200,500,60.158684527873994
