,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.834,332985,0.36227755662624433,814.3605334401315,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.684885827700297
1,0.788,312168,0.36219224867746325,814.4218910517561,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,10.196452494462331
2,0.812,320834,0.36224003368782215,814.4109700166043,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,10.33321228424708
3,0.852,354137,0.36227986339922796,814.3220338031973,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.55087817509969
4,0.784,338434,0.3622888116410317,814.4180297182709,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.963245463371276
5,0.816,338980,0.36225079424523304,814.4220933622574,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.522833720842998
6,0.832,330832,0.36225490734365584,814.3816394116826,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.253029517332713
7,0.832,379025,0.3622403967188984,814.4646631061992,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.309929029146831
8,0.83,348076,0.36224888536999794,814.4168469338041,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.474607535203297
9,0.78,308204,0.36235569215086283,814.2256797593423,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,10.193528632322947
10,0.868,375849,0.36223888165904566,814.4841285793291,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,10.347342224915822
11,0.828,350855,0.3622732482564538,814.3728968970964,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.160749149322509
12,0.806,324085,0.36235489238245605,814.236401038517,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.65960427125295
13,0.814,347880,0.362197587630613,814.4764588247256,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.46873375972112
14,0.828,367758,0.3622028699990012,814.4165084429525,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.279635735352834
15,0.82,343253,0.3622768752065707,814.3665954881361,Order_Amt = 'Treated' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.367020420233409
