,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
0,0.798,258345,0.388567861678387,4080.05548571165,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.91126795212428
1,0.792,259748,0.388453480739927,4079.28280808773,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.13088482220968
2,0.762,234347,0.388675004414034,4052.6853270386,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.75912441412608
3,0.83,284155,0.388460041819118,4102.85617383976,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.59694797197978
4,0.848,284416,0.388338088187558,4102.24952120239,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.60929063558578
5,0.79,281436,0.388404080431966,4100.50174346571,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.96671752134959
6,0.748,253917,0.38859861734013,4074.67567763214,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.49335422913233
7,0.81,275155,0.388390791648306,4097.45289237541,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.44358193476995
8,0.76,252179,0.388421708196535,4073.3552895359,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.45189468860626
9,0.81,285479,0.388351572477214,4105.0368462267,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.50193198919296
10,0.85,292727,0.388281053599829,4109.67508937769,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.38990130027135
11,0.852,302719,0.388341450954608,4116.48519549882,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.54486395915349
12,0.83,289276,0.388315392046663,4108.42289882134,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.01701497236888
13,0.806,267973,0.388362786134382,4087.47424869587,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.71584802468618
14,0.826,284149,0.388305717687812,4102.33338465154,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.76493549346924
15,0.81,260269,0.388576001321684,4078.79695156038,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.21928508281708
16,0.806,259492,0.388454927307646,4079.27116063241,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.48744109471639
17,0.816,294289,0.388314425651709,4112.02320213308,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.17234483957291
18,0.804,278991,0.38842280629745,4099.69689421159,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.74625621636709
19,0.778,257452,0.388419650856115,4077.15089649799,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.34883748292923
20,0.766,260190,0.388339063330066,4081.53544753002,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.81586941878001
21,0.814,277658,0.388374921316259,4096.83872511132,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.67887788613637
22,0.82,278561,0.388337210872497,4098.62909790258,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.18459809223811
23,0.792,243292,0.388611761920634,4063.8305933422,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.1740217645963
24,0.81,268415,0.388347774984035,4088.68935427022,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.60266570647558
25,0.744,238269,0.388640521947474,4054.72562114201,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.82895633776983
26,0.786,271827,0.388358488199462,4095.01825959352,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,9.0032353758812
27,0.79,276991,0.388414439761762,4098.60164030642,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.99586224555969
28,0.768,263447,0.388449313655511,4083.19614179532,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.85971577167511
29,0.82,276035,0.388398700606149,4095.995278357,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.04926497538884
30,0.814,289163,0.388441395869631,4106.67216035969,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.88821640412013
31,0.8,266251,0.388475753954075,4084.90105250157,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.99106296300888
32,0.794,279634,0.388400766032159,4100.8769779281,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.87792957226435
33,0.82,279206,0.388352328333284,4098.66973785749,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.85163402160009
34,0.838,276209,0.38836050640052,4097.25615330932,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.74987833499908
35,0.794,258234,0.388337526972617,4080.38027213808,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.0956981420517
36,0.826,274786,0.388506760336853,4094.19698803054,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.16038959026337
37,0.78,263413,0.388441492236304,4083.76029436085,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.54898881912231
38,0.796,268930,0.388374072208651,4089.29933145937,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.52887701193492
39,0.806,267973,0.388381158409987,4086.13513813665,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.07224272092183
40,0.802,264301,0.388441980451912,4083.6732756069,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.43479528427124
41,0.786,280207,0.38839379086001,4099.88640539485,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.71003599564235
42,0.762,249018,0.388461021313521,4072.16033483794,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.93448154131572
43,0.79,269137,0.388433817135869,4088.39939732418,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,8.01303810278575
44,0.812,258058,0.388533189997788,4080.7456925859,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.90595965385437
45,0.81,284679,0.388401647698322,4102.25100707047,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.91133205890656
46,0.798,270353,0.388434739267664,4091.27146031755,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.8785769979159
47,0.776,271591,0.388389678787543,4093.6264102015,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.84381625652313
48,0.84,275503,0.388372382343476,4096.66906168452,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.88320055405299
49,0.764,238295,0.388474625130714,4060.09749264675,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.96048176685969
50,0.84,287354,0.388307906473738,4106.69318690688,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.86695529619853
51,0.822,297840,0.38829214958577,4116.81351707834,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.87543075879415
52,0.78,275505,0.3883290320379,4093.92698532306,Order_Amt = 'Treated' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,7.83359197775523
